user_id,session_date,group,device,traffic_source,time_on_page_sec,converted,revenue
U005426,2026-02-08,Control,Mobile,Direct,112.0,0,0.0
U021224,2026-02-26,Control,Mobile,Organic,158.8,0,0.0
U012004,2026-02-16,Treatment,Desktop,Direct,56.5,0,0.0
U016442,2026-02-21,Treatment,Desktop,Direct,114.4,0,0.0
U024371,2026-03-02,Control,Mobile,Direct,174.6,0,0.0
U010343,2026-02-14,Treatment,Mobile,Organic,138.6,0,0.0
U005833,2026-02-08,Treatment,Desktop,Direct,90.8,0,0.0
U013553,2026-02-17,Control,Tablet,Social,71.4,0,0.0
U009023,2026-02-12,Control,Mobile,Social,87.0,0,0.0
U007583,2026-02-11,Control,Desktop,Organic,74.5,0,0.0
U005944,2026-02-09,Treatment,Mobile,Direct,66.8,0,0.0
U016571,2026-02-21,Treatment,Mobile,Direct,93.1,0,0.0
U022165,2026-02-28,Treatment,Mobile,Direct,78.9,0,0.0
U000397,2026-02-02,Control,Desktop,Paid,121.8,0,0.0
U020776,2026-02-26,Control,Mobile,Direct,172.5,0,0.0
U021014,2026-02-26,Control,Tablet,Organic,106.9,0,0.0
U011232,2026-02-15,Control,Mobile,Direct,90.9,0,0.0
U017324,2026-02-22,Treatment,Mobile,Organic,104.2,0,0.0
U005232,2026-02-08,Treatment,Mobile,Organic,78.5,0,0.0
U002596,2026-02-05,Control,Desktop,Organic,112.3,0,0.0
U020594,2026-02-26,Control,Desktop,Organic,113.1,0,0.0
U000736,2026-02-02,Treatment,Mobile,Social,101.4,0,0.0
U000435,2026-02-02,Control,Mobile,Organic,89.2,0,0.0
U004239,2026-02-07,Treatment,Mobile,Direct,8.7,0,0.0
U007363,2026-02-10,Control,Desktop,Email,150.1,0,0.0
U002392,2026-02-04,Control,Mobile,Direct,107.9,0,0.0
U009285,2026-02-12,Treatment,Mobile,Social,104.3,0,0.0
U013000,2026-02-17,Control,Mobile,Direct,115.8,0,0.0
U010571,2026-02-14,Control,Desktop,Paid,106.3,0,0.0
U000869,2026-02-03,Control,Tablet,Organic,53.6,0,0.0
U020223,2026-02-25,Treatment,Tablet,Organic,90.6,0,0.0
U014226,2026-02-18,Control,Tablet,Email,140.0,0,0.0
U022617,2026-02-28,Treatment,Mobile,Organic,71.0,0,0.0
U003777,2026-02-06,Treatment,Mobile,Email,63.6,0,0.0
U019780,2026-02-25,Treatment,Desktop,Organic,140.0,0,0.0
U006492,2026-02-09,Treatment,Mobile,Paid,118.1,0,0.0
U025472,2026-03-03,Treatment,Mobile,Direct,71.6,0,0.0
U016128,2026-02-20,Control,Mobile,Organic,147.2,0,0.0
U012659,2026-02-16,Control,Tablet,Paid,98.4,0,0.0
U009425,2026-02-13,Control,Mobile,Email,144.7,0,0.0
U004278,2026-02-07,Treatment,Mobile,Organic,35.8,0,0.0
U022463,2026-02-28,Treatment,Mobile,Organic,111.1,0,0.0
U009597,2026-02-13,Treatment,Desktop,Organic,67.0,0,0.0
U024616,2026-03-02,Treatment,Desktop,Direct,60.5,0,0.0
U000365,2026-02-02,Control,Mobile,Organic,82.9,0,0.0
U010881,2026-02-14,Control,Desktop,Paid,138.2,0,0.0
U010464,2026-02-14,Control,Mobile,Email,92.7,1,56.98
U013682,2026-02-18,Control,Mobile,Social,140.6,0,0.0
U010830,2026-02-14,Control,Desktop,Paid,127.7,0,0.0
U018494,2026-02-23,Treatment,Mobile,Paid,79.8,0,0.0
U010770,2026-02-14,Treatment,Desktop,Paid,57.8,0,0.0
U021819,2026-02-27,Control,Mobile,Organic,79.9,0,0.0
U023328,2026-03-01,Treatment,Tablet,Organic,93.7,0,0.0
U015804,2026-02-20,Control,Mobile,Social,63.0,0,0.0
U024827,2026-03-03,Treatment,Mobile,Organic,94.0,0,0.0
U016236,2026-02-21,Treatment,Desktop,Social,124.4,0,0.0
U022486,2026-02-28,Treatment,Tablet,Paid,103.0,0,0.0
U025096,2026-03-03,Treatment,Mobile,Paid,111.5,0,0.0
U012652,2026-02-16,Control,Desktop,Organic,105.5,0,0.0
U004237,2026-02-07,Control,Desktop,Email,151.5,0,0.0
U017796,2026-02-22,Treatment,Mobile,Social,109.3,0,0.0
U010404,2026-02-14,Treatment,Mobile,Paid,91.7,0,0.0
U015089,2026-02-19,Control,Mobile,Organic,99.7,0,0.0
U008795,2026-02-12,Control,Mobile,Organic,139.1,0,0.0
U008503,2026-02-12,Control,Mobile,Organic,158.0,0,0.0
U002992,2026-02-05,Treatment,Tablet,Paid,49.9,0,0.0
U018180,2026-02-23,Treatment,Mobile,Social,75.4,0,0.0
U012491,2026-02-16,Control,Desktop,Paid,97.1,0,0.0
U007068,2026-02-10,Treatment,Mobile,Organic,119.5,0,0.0
U006245,2026-02-09,Control,Desktop,Paid,83.6,0,0.0
U009366,2026-02-13,Treatment,Mobile,Social,57.2,0,0.0
U020705,2026-02-26,Control,Desktop,Social,63.4,0,0.0
U001621,2026-02-03,Control,Mobile,Direct,105.8,0,0.0
U003222,2026-02-05,Treatment,Desktop,Organic,176.0,0,0.0
U022111,2026-02-28,Treatment,Desktop,Direct,73.3,0,0.0
U019151,2026-02-24,Treatment,Mobile,Paid,133.6,0,0.0
U000488,2026-02-02,Treatment,Mobile,Organic,74.0,0,0.0
U020780,2026-02-26,Control,Mobile,Paid,79.3,0,0.0
U021022,2026-02-26,Treatment,Tablet,Social,103.0,0,0.0
U017898,2026-02-23,Control,Mobile,Social,160.6,0,0.0
U015838,2026-02-20,Control,Desktop,Social,36.4,0,0.0
U014958,2026-02-19,Control,Desktop,Social,93.6,0,0.0
U025401,2026-03-03,Treatment,Desktop,Paid,84.6,0,0.0
U016580,2026-02-21,Control,Mobile,Organic,127.0,0,0.0
U013132,2026-02-17,Control,Mobile,Paid,80.1,1,45.07
U009427,2026-02-13,Treatment,Mobile,Organic,121.1,0,0.0
